,Province_State,Lat,Long_,Confirmed,Deaths,Recovered,Active,Incidence_Rate,Case-Fatality_Ratio,Country_Region,Combined_Key,Last_Update
4,,-11.2027,17.8739,3901.0,147.0,1445.0,2309.0,11.869312329589718,3.7682645475519103,Angola,Angola,2020-09-20 04:22:56
5,,17.0608,-61.7964,96.0,3.0,92.0,1.0,98.03120660076792,3.125,Antigua and Barbuda,Antigua and Barbuda,2020-09-20 04:22:56
6,,-38.4161,-63.6167,622934.0,12799.0,478077.0,132058.0,1378.3013399681124,2.0546317908478264,Argentina,Argentina,2020-09-20 04:22:56
7,,40.0691,45.0382,47154.0,928.0,42551.0,3675.0,1591.3019356554364,1.9680196801968015,Armenia,Armenia,2020-09-20 04:22:56
8,Australian Capital Territory,-35.4735,149.0124,113.0,3.0,110.0,0.0,26.395701938799345,2.6548672566371683,Australia,"Australian Capital Territory, Australia",2020-09-20 04:22:56
9,New South Wales,-33.8688,151.2093,4200.0,53.0,2994.0,1153.0,51.736881005173686,1.261904761904762,Australia,"New South Wales, Australia",2020-09-20 04:22:56
10,Northern Territory,-12.4634,130.8456,33.0,0.0,31.0,2.0,13.436482084690551,0.0,Australia,"Northern Territory, Australia",2020-09-20 04:22:56
11,Queensland,-27.4698,153.0251,1152.0,6.0,1123.0,23.0,22.51979278662888,0.5208333333333334,Australia,"Queensland, Australia",2020-09-20 04:22:56
12,South Australia,-34.9285,138.6007,466.0,4.0,462.0,0.0,26.530031312268715,0.8583690987124464,Australia,"South Australia, Australia",2020-09-20 04:22:56
13,Tasmania,-42.8821,147.3272,230.0,13.0,217.0,0.0,42.95051353874883,5.652173913043479,Australia,"Tasmania, Australia",2020-09-20 04:22:56
14,Victoria,-37.8136,144.9631,20042.0,761.0,18379.0,902.0,302.2971688864085,3.797026244885741,Australia,"Victoria, Australia",2020-09-20 04:22:56
15,Western Australia,-31.9505,115.8605,662.0,9.0,650.0,3.0,25.165361514483383,1.3595166163141994,Australia,"Western Australia, Australia",2020-09-20 04:22:56
16,,47.5162,14.5501,37474.0,765.0,28961.0,7748.0,416.08189731746313,2.0414153813310563,Austria,Austria,2020-09-20 04:22:56
17,,40.1431,47.5769,39042.0,574.0,36601.0,1867.0,385.0609147193928,1.4702115670303777,Azerbaijan,Azerbaijan,2020-09-20 04:22:56
18,,25.025885,-78.035889,3214.0,73.0,1679.0,1462.0,817.2959557327691,2.271313005600498,Bahamas,Bahamas,2020-09-20 04:22:56
19,,26.0275,50.55,64499.0,221.0,57299.0,6979.0,3790.529171953409,0.3426409711778477,Bahrain,Bahrain,2020-09-20 04:22:56
20,,23.685,90.3563,347372.0,4913.0,254386.0,88073.0,210.92555796386705,1.4143339129233214,Bangladesh,Bangladesh,2020-09-20 04:22:56
21,,13.1939,-59.5432,185.0,7.0,172.0,6.0,64.37671163756956,3.783783783783784,Barbados,Barbados,2020-09-20 04:22:56
22,,53.7098,27.9534,75461.0,776.0,73212.0,1473.0,798.5864804465845,1.0283457680126158,Belarus,Belarus,2020-09-20 04:22:56
23,,50.8333,4.469936,100748.0,9944.0,18945.0,71859.0,869.2954106503615,9.870171120022231,Belgium,Belgium,2020-09-20 04:22:56
24,,17.1899,-88.4976,1606.0,20.0,876.0,710.0,403.902208384366,1.2453300124533002,Belize,Belize,2020-09-20 04:22:56
25,,9.3077,2.3158,2280.0,40.0,1950.0,290.0,18.806918768463568,1.7543859649122806,Benin,Benin,2020-09-20 04:22:56
26,,27.5142,90.4336,259.0,0.0,190.0,69.0,33.566092803118664,0.0,Bhutan,Bhutan,2020-09-20 04:22:56
27,,-16.2902,-63.5887,130470.0,7586.0,89032.0,33852.0,1117.7047534106189,5.8143634552004295,Bolivia,Bolivia,2020-09-20 04:22:56
28,,43.9159,17.6791,25217.0,758.0,17489.0,6970.0,768.6199922885014,3.005908712376572,Bosnia and Herzegovina,Bosnia and Herzegovina,2020-09-20 04:22:56
29,,-22.3285,24.6849,2567.0,13.0,624.0,1930.0,109.15856056981876,0.5064277366575769,Botswana,Botswana,2020-09-20 04:22:56
30,Acre,-9.0238,-70.812,27061.0,648.0,24298.0,2115.0,3068.366716367985,2.3945900003695355,Brazil,"Acre, Brazil",2020-09-20 04:22:56
31,Alagoas,-9.5713,-36.782,83950.0,2014.0,80658.0,1278.0,2515.463583907865,2.3990470518165576,Brazil,"Alagoas, Brazil",2020-09-20 04:22:56
32,Amapa,0.902,-52.003,46738.0,691.0,35026.0,11021.0,5526.343482738601,1.4784543626171425,Brazil,"Amapa, Brazil",2020-09-20 04:22:56
33,Amazonas,-3.4168,-65.8561,131573.0,3956.0,109874.0,17743.0,3174.566791415426,3.0066959026548,Brazil,"Amazonas, Brazil",2020-09-20 04:22:56
34,Bahia,-12.5797,-41.7007,294210.0,6221.0,280351.0,7638.0,1978.1398103309448,2.1144760545188808,Brazil,"Bahia, Brazil",2020-09-20 04:22:56
35,Ceara,-5.4984,-39.3206,233600.0,8801.0,206727.0,18072.0,2558.0158207146287,3.7675513698630136,Brazil,"Ceara, Brazil",2020-09-20 04:22:56
36,Distrito Federal,-15.7998,-47.8645,183096.0,3048.0,170627.0,9421.0,6072.296061245634,1.6647004849914802,Brazil,"Distrito Federal, Brazil",2020-09-20 04:22:56
37,Espirito Santo,-19.1834,-40.3089,123720.0,3408.0,113545.0,6767.0,3078.645813892725,2.754607177497576,Brazil,"Espirito Santo, Brazil",2020-09-20 04:22:56
38,Goias,-15.827,-49.8362,182856.0,4135.0,172741.0,5980.0,2605.3972199179466,2.2613422583891154,Brazil,"Goias, Brazil",2020-09-20 04:22:56
39,Maranhao,-4.9609,-45.2744,167333.0,3643.0,157810.0,5880.0,2365.070236365685,2.177095970310698,Brazil,"Maranhao, Brazil",2020-09-20 04:22:56
40,Mato Grosso,-12.6819,-56.9211,112242.0,3214.0,92468.0,16560.0,3221.2109402129336,2.8634557474029334,Brazil,"Mato Grosso, Brazil",2020-09-20 04:22:56
41,Mato Grosso do Sul,-20.7722,-54.7852,63466.0,1162.0,56313.0,5991.0,2283.782645900339,1.830901585100684,Brazil,"Mato Grosso do Sul, Brazil",2020-09-20 04:22:56
42,Minas Gerais,-18.5122,-44.555,268009.0,6656.0,233463.0,27890.0,1266.0571876778415,2.4834986884768795,Brazil,"Minas Gerais, Brazil",2020-09-20 04:22:56
43,Para,-1.9981,-54.9306,220205.0,6451.0,204728.0,9026.0,2559.670528364679,2.9295429259099475,Brazil,"Para, Brazil",2020-09-20 04:22:56
44,Paraiba,-7.24,-36.782,116588.0,2695.0,89305.0,24588.0,2901.550896723772,2.3115586509760866,Brazil,"Paraiba, Brazil",2020-09-20 04:22:56
45,Parana,-25.2521,-52.0215,163479.0,4093.0,114358.0,45028.0,1429.7674899424585,2.503685488656035,Brazil,"Parana, Brazil",2020-09-20 04:22:56
46,Pernambuco,-8.8137,-36.9541,141042.0,8004.0,122512.0,10526.0,1475.786880729462,5.674905347343343,Brazil,"Pernambuco, Brazil",2020-09-20 04:22:56
47,Piaui,-7.7183,-42.7289,90061.0,2025.0,87492.0,544.0,2751.443758712732,2.248476032911027,Brazil,"Piaui, Brazil",2020-09-20 04:22:56
48,Rio Grande do Norte,-5.4026,-36.9541,66963.0,2348.0,39924.0,24691.0,1909.489790418931,3.506413989815272,Brazil,"Rio Grande do Norte, Brazil",2020-09-20 04:22:56
49,Rio Grande do Sul,-30.0346,-51.2177,174140.0,4371.0,159153.0,10616.0,1530.5998230326354,2.510049385551855,Brazil,"Rio Grande do Sul, Brazil",2020-09-20 04:22:56
50,Rio de Janeiro,-22.9068,-43.1729,251261.0,17634.0,228258.0,5369.0,1455.324816305504,7.018200198200277,Brazil,"Rio de Janeiro, Brazil",2020-09-20 04:22:56
51,Rondonia,-11.5057,-63.5806,62697.0,1297.0,52932.0,8468.0,3527.803176300132,2.068679522146195,Brazil,"Rondonia, Brazil",2020-09-20 04:22:56
52,Roraima,-2.7376,-62.0751,48088.0,613.0,15164.0,32311.0,7938.444369974297,1.2747462984528364,Brazil,"Roraima, Brazil",2020-09-20 04:22:56
53,Santa Catarina,-27.2423,-50.2189,205250.0,2635.0,194520.0,8095.0,2864.7044406617474,1.2838002436053593,Brazil,"Santa Catarina, Brazil",2020-09-20 04:22:56
54,Sao Paulo,-23.5505,-46.6333,931673.0,33927.0,780448.0,117298.0,2028.946636068181,3.641513707062456,Brazil,"Sao Paulo, Brazil",2020-09-20 04:22:56
55,Sergipe,-10.5741,-37.3857,75772.0,1976.0,68932.0,4864.0,3296.303643456987,2.6078234704112337,Brazil,"Sergipe, Brazil",2020-09-20 04:22:56
56,Tocantins,-10.1753,-48.2982,63167.0,866.0,45266.0,17035.0,4016.04459629746,1.3709690186331471,Brazil,"Tocantins, Brazil",2020-09-20 04:22:56
57,,4.5353,114.7277,145.0,3.0,142.0,0.0,33.144145029635446,2.0689655172413794,Brunei,Brunei,2020-09-20 04:22:56
58,,42.7339,25.4858,18819.0,755.0,13558.0,4506.0,270.8375758892817,4.0119028641266805,Bulgaria,Bulgaria,2020-09-20 04:22:56
59,,12.2383,-1.5616,1816.0,56.0,1176.0,584.0,8.687632628719763,3.0837004405286343,Burkina Faso,Burkina Faso,2020-09-20 04:22:56
60,,21.9162,95.956,5263.0,81.0,1188.0,3994.0,9.672890876962336,1.5390461713851415,Burma,Burma,2020-09-20 04:22:56
61,,-3.3731,29.9189,473.0,1.0,374.0,98.0,3.9778715964914335,0.2114164904862579,Burundi,Burundi,2020-09-20 04:22:56
62,,16.5388,-23.0418,5186.0,50.0,4581.0,555.0,932.7539443297336,0.9641342074816814,Cabo Verde,Cabo Verde,2020-09-20 04:22:56
63,,11.55,104.9167,275.0,0.0,274.0,1.0,1.644838070476945,0.0,Cambodia,Cambodia,2020-09-20 04:22:56
64,,3.848,11.5021,20431.0,416.0,19124.0,891.0,76.9649087330516,2.0361215799520336,Cameroon,Cameroon,2020-09-20 04:22:56
65,Alberta,53.9333,-116.5765,16381.0,255.0,14702.0,1424.0,371.18645066354026,1.5566815212746474,Canada,"Alberta, Canada",2020-09-20 04:22:56
66,British Columbia,53.7267,-127.6476,7842.0,223.0,5797.0,1822.0,153.43626202499468,2.8436623310380007,Canada,"British Columbia, Canada",2020-09-20 04:22:56
67,Diamond Princess,,,0.0,1.0,0.0,,,,Canada,"Diamond Princess, Canada",2020-09-20 04:22:56
68,Grand Princess,,,13.0,0.0,13.0,0.0,,0.0,Canada,"Grand Princess, Canada",2020-09-20 04:22:56
69,Manitoba,53.7609,-98.8139,1558.0,16.0,1211.0,331.0,113.10205246105856,1.0269576379974326,Canada,"Manitoba, Canada",2020-09-20 04:22:56
70,New Brunswick,46.5653,-66.4619,194.0,2.0,192.0,0.0,24.87201808221356,1.0309278350515465,Canada,"New Brunswick, Canada",2020-09-20 04:22:56
71,Newfoundland and Labrador,53.1355,-57.6604,272.0,3.0,267.0,2.0,52.17074410441821,1.1029411764705883,Canada,"Newfoundland and Labrador, Canada",2020-09-20 04:22:56
72,Northwest Territories,64.8255,-124.8457,5.0,0.0,5.0,0.0,11.134865490824868,0.0,Canada,"Northwest Territories,Canada",2020-09-20 04:22:56
73,Nova Scotia,44.682,-63.7443,1086.0,65.0,1021.0,0.0,111.10463171269942,5.985267034990794,Canada,"Nova Scotia, Canada",2020-09-20 04:22:56
